year,final_poll_dem_margin,actual_dem_margin,dem_seats_won
2002,1.7,-4.6,204
2006,11.5,8.0,233
2010,-9.4,-6.8,193
2014,-2.4,-5.7,188
2018,7.3,8.6,235
2022,-2.5,-2.8,213
