2028 slate: 60 markets   (DRY RUN)
live Target Sizes seen: [20000.0]  (old was 10,000)

market                                     side   target      ours      add
ewc-usp-2028-11-07-jonoss                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-jonoss                  SELL   20,000    11,599    8,402
ewc-usp-2028-11-07-jossha                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-jossha                  SELL   20,000    11,761    8,240
ewc-usp-2028-11-07-kamhar                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-kamhar                  SELL   20,000    10,926    9,075
ewc-usp-2028-11-07-markel                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-markel                  SELL   20,000    10,315    9,686
ewc-usp-2028-11-07-marrub                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-marrub                  SELL   20,000    12,249    7,752
ewc-usp-2028-11-07-micoba                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-micoba                  SELL   20,000    12,181    7,820
ewc-usp-2028-11-07-petbut                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-petbut                  SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-rahema                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-rahema                  SELL   20,000    10,421    9,580
ewc-usp-2028-11-07-rokha                   BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-rokha                   SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-rondes                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-rondes                  SELL   20,000    10,082    9,919
ewc-usp-2028-11-07-stasmi                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-stasmi                  SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-thomas                  BUY    20,000    10,002    9,999
ewc-usp-2028-11-07-thomas                  SELL   20,000    11,632    8,369
ewc-usp-2028-11-07-tuccar                  BUY    20,000    10,002    9,999
ewc-usp-2028-11-07-tuccar                  SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-tulgab                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-tulgab                  SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-vivram                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-vivram                  SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-wesmoo                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-wesmoo                  SELL   20,000     9,994   10,006
ewc-usp-party-2028-11-07-dem               BUY    20,000    19,773      227
ewc-usp-party-2028-11-07-dem               SELL   20,000    19,751      250
ewc-usp-party-2028-11-07-rep               BUY    20,000     9,180   10,821
ewc-usp-party-2028-11-07-rep               SELL   20,000     9,712   10,288

would place 120, failed 0, fill-side notional ~$11,185.26
