market                                   side     ours   others    total    tgt qual self off  $/day
ewc-usgub-ga-2026-11-03-dem              BUY         0   78,150   78,150 10,000    y   no   -   0.00
ewc-usgub-ga-2026-11-03-dem              SELL        0   60,559   60,559 10,000    y   no   -   0.00
ewc-usgub-ga-2026-11-03-rep              BUY         0   57,558   57,558 10,000    y   no   -   0.00
ewc-usgub-ga-2026-11-03-rep              SELL        0   83,395   83,395 10,000    y   no   -   0.00
ewc-usgub-ia-2026-11-03-dem              BUY         0   68,983   68,983  2,000    y   no   -   0.00
ewc-usgub-ia-2026-11-03-dem              SELL        0   72,583   72,583  2,000    y   no   -   0.00
ewc-usgub-ia-2026-11-03-rep              BUY         0   52,498   52,498  2,000    y   no   -   0.00
ewc-usgub-ia-2026-11-03-rep              SELL        0   72,545   72,545  2,000    y   no   -   0.00
ewc-usgub-ks-2026-11-03-dem              BUY         0   66,585   66,585  2,000    y   no   -   0.00
ewc-usgub-ks-2026-11-03-dem              SELL        0   61,232   61,232  2,000    y   no   -   0.00
ewc-usgub-ks-2026-11-03-rep              BUY         0   75,351   75,351  2,000    y   no   -   0.00
ewc-usgub-ks-2026-11-03-rep              SELL        0   72,741   72,741  2,000    y   no   -   0.00
ewc-usgub-mi-2026-11-03-dem              BUY         0   68,335   68,335  2,000    y   no   -   0.00
ewc-usgub-mi-2026-11-03-dem              SELL        0   88,368   88,368  2,000    y   no   -   0.00
ewc-usgub-mi-2026-11-03-mikdug           BUY         0   12,525   12,525  2,000    y   no   -   0.00
ewc-usgub-mi-2026-11-03-mikdug           SELL        0   88,992   88,992  2,000    y   no   -   0.00
ewc-usgub-mi-2026-11-03-rep              BUY         0   72,697   72,697  2,000    y   no   -   0.00
ewc-usgub-mi-2026-11-03-rep              SELL        0   74,182   74,182  2,000    y   no   -   0.00
ewc-usgub-nv-2026-11-03-dem              BUY         0   57,626   57,626  2,000    y   no   -   0.00
ewc-usgub-nv-2026-11-03-dem              SELL        0   95,998   95,998  2,000    y   no   -   0.00
ewc-usgub-nv-2026-11-03-rep              BUY         0   66,866   66,866  2,000    y   no   -   0.00
ewc-usgub-nv-2026-11-03-rep              SELL        0   78,405   78,405  2,000    y   no   -   0.00
ewc-usgub-oh-2026-11-03-dem              BUY         0  284,367  284,367 10,000    y   no   -   0.00
ewc-usgub-oh-2026-11-03-dem              SELL        0  208,025  208,025 10,000    y   no   -   0.00
ewc-usgub-oh-2026-11-03-rep              BUY         0  316,014  316,014 10,000    y   no   -   0.00
ewc-usgub-oh-2026-11-03-rep              SELL        0  265,321  265,321 10,000    y   no   -   0.00
ewc-usgub-wi-2026-11-03-dem              BUY         0 1,239,609 1,239,609  2,000    y   no   -   0.00
ewc-usgub-wi-2026-11-03-dem              SELL        0  381,969  381,969  2,000    y   no   -   0.00
ewc-usgub-wi-2026-11-03-rep              BUY         0 1,097,989 1,097,989  2,000    y   no   -   0.00
ewc-usgub-wi-2026-11-03-rep              SELL        0  365,532  365,532  2,000    y   no   -   0.00
ewc-usse-ak-2026-11-03-dem               BUY        20  366,624  366,644  2,000    y   no   0   0.15
ewc-usse-ak-2026-11-03-dem               SELL        0  155,532  155,532  2,000    y   no   -   0.00
ewc-usse-ak-2026-11-03-rep               BUY         0  371,240  371,240  2,000    y   no   -   0.00
ewc-usse-ak-2026-11-03-rep               SELL        0  135,942  135,942  2,000    y   no   -   0.00
ewc-usse-ga-2026-11-03-dem               BUY         0  123,442  123,442 10,000    y   no   -   0.00
ewc-usse-ga-2026-11-03-dem               SELL        0  130,573  130,573 10,000    y   no   -   0.00
ewc-usse-ga-2026-11-03-rep               BUY         0  139,251  139,251 10,000    y   no   -   0.00
ewc-usse-ga-2026-11-03-rep               SELL        0   98,055   98,055 10,000    y   no   -   0.00
ewc-usse-ia-2026-11-03-dem               BUY         0   73,340   73,340  2,000    y   no   -   0.00
ewc-usse-ia-2026-11-03-dem               SELL        0   60,777   60,777  2,000    y   no   -   0.00
ewc-usse-ia-2026-11-03-rep               BUY         0   62,325   62,325  2,000    y   no   -   0.00
ewc-usse-ia-2026-11-03-rep               SELL        0   66,723   66,723  2,000    y   no   -   0.00
ewc-usse-me-2026-11-03-dem               BUY         0  638,851  638,851 10,000    y   no   -   0.00
ewc-usse-me-2026-11-03-dem               SELL        0  296,092  296,092 10,000    y   no   -   0.00
ewc-usse-me-2026-11-03-rep               BUY         0  689,735  689,735 10,000    y   no   -   0.00
ewc-usse-me-2026-11-03-rep               SELL        0  287,228  287,228 10,000    y   no   -   0.00
ewc-usse-mi-2026-11-03-dem               BUY         0  625,684  625,684  2,000    y   no   -   0.00
ewc-usse-mi-2026-11-03-dem               SELL        0  230,811  230,811  2,000    y   no   -   0.00
ewc-usse-mi-2026-11-03-rep               BUY         0  645,767  645,767  2,000    y   no   -   0.00
ewc-usse-mi-2026-11-03-rep               SELL        0  220,804  220,804  2,000    y   no   -   0.00
ewc-usse-mn-2026-11-03-dem               BUY         0   72,734   72,734  2,000    y   no   -   0.00
ewc-usse-mn-2026-11-03-dem               SELL        0  100,457  100,457  2,000    y   no   -   0.00
ewc-usse-mn-2026-11-03-rep               BUY         0   63,516   63,516  2,000    y   no   -   0.00
ewc-usse-mn-2026-11-03-rep               SELL        0   74,917   74,917  2,000    y   no   -   0.00
ewc-usse-nc-2026-11-03-dem               BUY         0  119,210  119,210  5,000    y   no   -   0.00
ewc-usse-nc-2026-11-03-dem               SELL        0   81,725   81,725  5,000    y   no   -   0.00
ewc-usse-nc-2026-11-03-rep               BUY         0   72,367   72,367  5,000    y   no   -   0.00
ewc-usse-nc-2026-11-03-rep               SELL        0  138,832  138,832  5,000    y   no   -   0.00
ewc-usse-ne-2026-11-03-danosb            BUY         0   68,243   68,243  2,000    y   no   -   0.00
ewc-usse-ne-2026-11-03-danosb            SELL        0   61,039   61,039  2,000    y   no   -   0.00
ewc-usse-ne-2026-11-03-dem               SELL        0   84,938   84,938  2,000    y   no   -   0.00
ewc-usse-ne-2026-11-03-rep               BUY         0   74,636   74,636  2,000    y   no   -   0.00
ewc-usse-ne-2026-11-03-rep               SELL        0   94,862   94,862  2,000    y   no   -   0.00
ewc-usse-nh-2026-11-03-dem               BUY         0   66,317   66,317  2,000    y   no   -   0.00
ewc-usse-nh-2026-11-03-dem               SELL        0   86,352   86,352  2,000    y   no   -   0.00
ewc-usse-nh-2026-11-03-rep               BUY         0   58,532   58,532  2,000    y   no   -   0.00
ewc-usse-nh-2026-11-03-rep               SELL        0   66,989   66,989  2,000    y   no   -   0.00
ewc-usse-oh-2026-11-03-dem               BUY         0  686,517  686,517  5,000    y   no   -   0.00
ewc-usse-oh-2026-11-03-dem               SELL        0  131,328  131,328  5,000    y   no   -   0.00
ewc-usse-oh-2026-11-03-rep               BUY         0  616,525  616,525  5,000    y   no   -   0.00
ewc-usse-oh-2026-11-03-rep               SELL        0  326,879  326,879  5,000    y   no   -   0.00
ewc-usse-tx-2026-11-03-dem               BUY        30  635,302  635,332 10,000    y   no   0   0.35
ewc-usse-tx-2026-11-03-dem               SELL        0  241,231  241,231 10,000    y   no   -   0.00
ewc-usse-tx-2026-11-03-rep               BUY         0  876,018  876,018 10,000    y   no   -   0.00
ewc-usse-tx-2026-11-03-rep               SELL        0  141,237  141,237 10,000    y   no   -   0.00
paccc-usse-midterms-2026-11-03-dem       BUY         0 1,044,108 1,044,108 10,000    y   no   -   0.00
paccc-usse-midterms-2026-11-03-dem       SELL        0  783,992  783,992 10,000    y   no   -   0.00
paccc-usse-midterms-2026-11-03-rep       BUY         0 1,064,597 1,064,597 10,000    y   no   -   0.00
paccc-usse-midterms-2026-11-03-rep       SELL        0  818,663  818,663 10,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-adacru      BUY         0   10,276   10,276  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-adacru      SELL        0      226      226  2,000   NO   no   -   0.00
usgubewc-usgub-ak-2026-11-03-berwil      BUY         0   10,200   10,200  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-berwil      SELL        0   21,225   21,225  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-bilwal      BUY         0   10,276   10,276  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-bilwal      SELL        0      226      226  2,000   NO   no   -   0.00
usgubewc-usgub-ak-2026-11-03-clibis      BUY         0   10,276   10,276  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-clibis      SELL        0      226      226  2,000   NO   no   -   0.00
usgubewc-usgub-ak-2026-11-03-davbro      BUY         0   10,276   10,276  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-davbro      SELL        0      226      226  2,000   NO   no   -   0.00
usgubewc-usgub-ak-2026-11-03-jonkre      BUY         0   10,276   10,276  2,000    y   no   -   0.00
usgubewc-usgub-ak-2026-11-03-jonkre      SELL        0      226      226  2,000   NO   no   -   0.00
usgubewc-usgub-ak-2026-11-03-tombeg      BUY         0      217      217  2,000   NO   no   -   0.00
usgubewc-usgub-ak-2026-11-03-tombeg      SELL        0      227      227  2,000   NO   no   -   0.00
usgubewc-usgub-al-2026-11-03-dem         BUY         0   44,644   44,644  2,000    y   no   -   0.00
usgubewc-usgub-al-2026-11-03-dem         SELL        0  134,213  134,213  2,000    y   no   -   0.00
