119 markets hold orders

funded right now : 119
no active program: 0

MARKETS WITH NO ACTIVE PROGRAM (capital that cannot earn)
  market                                         orders   capital
  TOTAL                                               0      0.00

FUNDED, with pool and target
  ussewc-usse-id-2026-11-03-rep                       2     60.80       25    2,000
  ussewc-usse-id-2026-11-03-todach                    2     48.50       25    2,000
  ussewc-usse-il-2026-11-03-dem                       3     39.86       25    2,000
  ussewc-usse-il-2026-11-03-rep                       3     49.20       25    2,000
  ussewc-usse-ky-2026-11-03-dem                       5     53.25       25    2,000
  ussewc-usse-ky-2026-11-03-rep                       2     38.00       25    2,000
  ussewc-usse-la-2026-11-03-rep                       2     38.80       25    2,000
  ussewc-usse-ma-2026-11-03-dem                       8     81.50       25    2,000
  ussewc-usse-ma-2026-11-03-rep                       2     38.87       25    2,000
  ussewc-usse-mt-2026-11-03-dem                       1     24.50       25    2,000
  ussewc-usse-mt-2026-11-03-rep                       3     38.04       25    2,000
  ussewc-usse-mt-2026-11-03-setbod                    2     21.86       25    2,000
  ussewc-usse-nj-2026-11-03-dem                       5     42.04       25    2,000
  ussewc-usse-nj-2026-11-03-rep                       2     51.16       25    2,000
  ussewc-usse-nm-2026-11-03-dem                       1     36.80       25    2,000
  ussewc-usse-nm-2026-11-03-rep                       5     77.60       25    2,000
  ussewc-usse-ok-2026-11-03-dem                       3     45.40       25    2,000
  ussewc-usse-ok-2026-11-03-rep                       2     39.60       25    2,000
  ussewc-usse-or-2026-11-03-dem                       2     39.20       25    2,000
  ussewc-usse-or-2026-11-03-rep                       2     51.70       25    2,000
  ussewc-usse-ri-2026-11-03-dem                       2     39.60       25    2,000
  ussewc-usse-ri-2026-11-03-rep                       4     43.50       25    2,000
  ussewc-usse-sc-2026-11-03-dem                       1     36.00       25    2,000
  ussewc-usse-sc-2026-11-03-rep                       2     37.60       25    2,000
  ussewc-usse-sd-2026-11-03-briben                    1     24.50       25    2,000
  ussewc-usse-sd-2026-11-03-rep                       1     37.20       25    2,000
  ussewc-usse-tn-2026-11-03-dem                       1     36.40       25    2,000
  ussewc-usse-tn-2026-11-03-rep                       2     38.40       25    2,000
  ussewc-usse-va-2026-11-03-rep                       3     46.60       25    2,000
  ussewc-usse-wv-2026-11-03-dem                       4     43.50       25    2,000
  ussewc-usse-wv-2026-11-03-rep                       3     51.97       25    2,000
  ussewc-usse-wy-2026-11-03-dem                       2    101.60       25    2,000
